book_id,discipline,title,family,feature_id,feature_label,count,rate_per_10k_words,segment_coverage_pct,dispersion_evenness
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,function,meaning_access,Access to disciplinary meanings,3,31.414,40.0,0.3333
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,function,orientation,Orientation and navigation,1,10.471,20.0,0.0
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,function,rhetorical_relation,Rhetorical relations and importance,2,20.942,40.0,0.3876
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,function,background_knowledge,Background knowledge support,0,0.0,0.0,0.0
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,function,conceptual_continuity,Conceptual continuity,0,0.0,0.0,0.0
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,function,reader_engagement,Reader engagement and self-monitoring,0,0.0,0.0,0.0
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,function,multimodal_scaffolding,Multimodal and numeric scaffolding,0,0.0,0.0,0.0
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,grammar,modal_auxiliary,Modal auxiliaries,9,94.241,80.0,0.6761
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,grammar,epistemic_hedge,Epistemic hedges,2,20.942,20.0,0.0
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,grammar,booster,Boosters and emphasis,0,0.0,0.0,0.0
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,grammar,passive_candidate,Passive candidates,11,115.183,80.0,0.735
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,grammar,conditional_clause,Conditional clauses,1,10.471,20.0,0.0
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,grammar,concessive_clause,Concessive clauses,2,20.942,40.0,0.3876
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,grammar,causal_clause,Causal and result clauses,2,20.942,40.0,0.3876
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,grammar,relative_clause_candidate,Relative-clause candidates,10,104.712,100.0,0.6838
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,grammar,that_complement_candidate,That-clause candidates,2,20.942,40.0,0.3876
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,grammar,to_infinitive,To-infinitive constructions,32,335.079,100.0,0.9203
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,grammar,ing_form_candidate,-ing form candidates,17,178.01,80.0,0.5203
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,grammar,existential_there,Existential there,0,0.0,0.0,0.0
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,grammar,extraposition_it,Extraposition with it,0,0.0,0.0,0.0
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,grammar,negation,Negation,4,41.885,40.0,0.2711
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,grammar,interrogative,Interrogatives,1,10.471,20.0,0.0
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,grammar,nominalisation_candidate,Nominalisation candidates,51,534.031,100.0,0.7958
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,grammar,coordination,Coordination,31,324.607,100.0,0.7753
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,grammar,endophoric_reference,Endophoric and cross-reference forms,2,20.942,40.0,0.3876
EE_Sadiku,Electrical Engineering,Fundamentals of Electric Circuits,grammar,reader_reference,Reader reference,9,94.241,80.0,0.6315
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,function,meaning_access,Access to disciplinary meanings,3,30.896,40.0,0.3333
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,function,orientation,Orientation and navigation,2,20.597,40.0,0.3876
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,function,rhetorical_relation,Rhetorical relations and importance,1,10.299,20.0,0.0
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,function,background_knowledge,Background knowledge support,0,0.0,0.0,0.0
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,function,conceptual_continuity,Conceptual continuity,0,0.0,0.0,0.0
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,function,reader_engagement,Reader engagement and self-monitoring,0,0.0,0.0,0.0
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,function,multimodal_scaffolding,Multimodal and numeric scaffolding,2,20.597,20.0,0.0
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,grammar,modal_auxiliary,Modal auxiliaries,9,92.688,100.0,0.7278
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,grammar,epistemic_hedge,Epistemic hedges,3,30.896,40.0,0.3333
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,grammar,booster,Boosters and emphasis,0,0.0,0.0,0.0
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,grammar,passive_candidate,Passive candidates,17,175.077,80.0,0.6699
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,grammar,conditional_clause,Conditional clauses,5,51.493,60.0,0.5528
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,grammar,concessive_clause,Concessive clauses,2,20.597,40.0,0.3876
